,by,descendants,id,kids,score,time,title,type,url
0,varunvummadi,64,40127806,"[40128351, 40128046, 40128521, 40128359, 40128111, 40128639, 40128057, 40128158, 40128480, 40128116]",187,1713838912,Phi-3 Technical Report,story,https://arxiv.org/abs/2404.14219
1,zdgeier,82,40126751,"[40127268, 40127093, 40127073, 40127116, 40127044, 40127288, 40127320, 40127046, 40127692, 40127231, 40127445, 40127276, 40126957, 40128573, 40127402, 40128091, 40127854, 40127182, 40127086, 40127487, 40127527, 40128670, 40127169, 40127196, 40128739, 40128087, 40128023, 40127108, 40127099, 40127578, 40127453, 40127720, 40127509, 40128364, 40127607]",440,1713829123,Krazam OS,story,https://www.krazam.tv/
2,wodow,5,40128285,"[40128764, 40128585]",37,1713844246,EURISKO Lives,story,https://blog.funcall.org/lisp/2024/03/22/eurisko-lives/
3,ahiknsr,536,40115554,"[40116550, 40115923, 40123611, 40116076, 40124006, 40116676, 40127397, 40115916, 40116372, 40116095, 40123830, 40126286, 40116619, 40116211, 40116088, 40115993, 40117070, 40116324, 40128130, 40117387, 40115936, 40116580, 40116029, 40116694, 40126899, 40115946, 40128093, 40127641, 40116938, 40123383, 40122925, 40128298, 40116977, 40117604, 40116219, 40116508, 40119994, 40116312, 40115874, 40127159, 40128500, 40116082, 40116197, 40116687, 40116109, 40116207, 40116200, 40116188, 40121598, 40119600, 40127697, 40121603, 40117523, 40117827, 40123389, 40127137, 40117082, 40119067, 40117374, 40126930, 40125824, 40117191, 40115980, 40116898, 40116472, 40116145, 40127012, 40116287, 40116173, 40119710, 40116347, 40116156, 40116007, 40126857, 40117160, 40119967, 40119384, 40116130, 40123009, 40116604, 40116336, 40118909, 40116693, 40117422, 40115886, 40120015, 40121480, 40122167, 40122070, 40122051, 40127616, 40120603, 40120113, 40120460, 40120439, 40119342, 40119338, 40119325, 40119320, 40119298, 40125803, 40125644, 40125377, 40125781, 40125453, 40116113, 40124042, 40117105, 40121481, 40121684, 40120972, 40120450, 40120129, 40119173, 40119170, 40125391, 40118318, 40122384, 40122360, 40122300, 40122214, 40121858, 40121538, 40121903, 40121823, 40126056, 40126022, 40125936, 40125931, 40122551, 40127395, 40116253, 40116450, 40116351, 40122599, 40122871, 40122632, 40122731, 40122844, 40117243, 40121386, 40126372, 40126122, 40126266, 40126551, 40126420, 40117054, 40126335, 40118672, 40122644, 40123702, 40124282, 40118352, 40118818, 40119037, 40119069, 40121157, 40118340, 40118361, 40118475, 40118488, 40118584, 40118596, 40118883, 40124369, 40124362, 40124430, 40120729, 40124649, 40124029, 40118281, 40118483, 40118524, 40118617, 40118624, 40119044, 40124694, 40118310, 40118507, 40124216, 40124113, 40123802, 40124372, 40124284, 40124994, 40125079, 40125078, 40125109, 40118873, 40118890, 40123810, 40124103, 40124376, 40118235, 40118837, 40118882, 40118899, 40118903, 40118809, 40124444, 40124091, 40124917, 40124943, 40124435, 40123872, 40124776, 40124504, 40125310, 40120776, 40121050, 40123444]",653,1713801270,Meta Horizon OS,story,https://www.meta.com/blog/quest/meta-horizon-os-open-hardware-ecosystem-asus-republic-gamers-lenovo-xbox/
4,gajus,63,40127124,"[40127867, 40128856, 40127908, 40128969, 40128871, 40128772, 40128706, 40128250, 40128949, 40128911, 40127457, 40128766, 40127571, 40127511, 40127909, 40127675, 40127226, 40127717, 40127514, 40127851, 40128022, 40127519, 40127378, 40127547, 40127686, 40128993, 40127489]",61,1713831652,Understanding and avoiding visually ambiguous characters in IDs,story,https://gajus.com/blog/avoiding-visually-ambiguous-characters-in-ids
5,kiyanwang,14,40112282,"[40128400, 40128575, 40127911, 40128943, 40128183]",45,1713773247,The problem with invariants is that they change over time,story,https://surfingcomplexity.blog/2024/03/26/the-problem-with-invariants-is-that-they-change-over-time/
6,Thevet,0,40111581,,16,1713763097,The Resurrection of Rajasthan's Royal Liquors,story,https://www.atlasobscura.com/articles/the-secret-liquor-recipes-of-rajasthans-royals
7,geox,15,40128798,"[40129043, 40129056, 40128926, 40128956, 40128987]",22,1713850112,Work begins on a $12B high-speed rail line between Las Vegas and Los Angeles,story,https://apnews.com/article/high-speed-train-vegas-los-angeles-brightline-595913ff2fa3d9001fb89bfab4e6c4d2
8,hasheddan,159,40116644,"[40116928, 40117389, 40116940, 40117631, 40124054, 40128532, 40116992, 40128839, 40127052, 40125240, 40122174, 40116948, 40127041, 40117556, 40117089, 40119861, 40121093, 40118229, 40117241, 40119605, 40128535, 40117169, 40117092, 40128274, 40116989, 40117052, 40117658, 40127986, 40117087, 40127452, 40117351, 40118237, 40125668, 40125422, 40122091, 40121753, 40121186, 40121031, 40120862, 40120705, 40120135, 40120523, 40120355, 40119372, 40119354, 40119324, 40125650, 40125604, 40125484, 40124758, 40121542, 40122109, 40122179, 40121128, 40121123, 40120967, 40120529, 40120596, 40120327, 40125731, 40125687, 40125536, 40125508, 40125467, 40125221, 40119179, 40125564, 40125482, 40125385, 40125379, 40125384, 40123615, 40123551, 40122423, 40122321, 40122061, 40122359, 40121967, 40121675, 40126146, 40122571, 40126790, 40126537, 40126820, 40126829, 40126594, 40122855, 40124106, 40125263, 40126705, 40126724, 40126513, 40126667, 40126400, 40118371, 40118436, 40118455, 40118484, 40118566, 40118581, 40118593, 40118603, 40118619, 40118656, 40118683, 40118718, 40118737, 40118810, 40118858, 40123860, 40119066, 40122681, 40122679, 40122700, 40126777, 40126803, 40121045, 40121277, 40118622, 40118701, 40118802, 40118878, 40118895, 40124429, 40124219, 40125047, 40124490, 40123660, 40120953, 40124141, 40125320, 40124724, 40118308, 40124132, 40120108, 40118927, 40118938, 40121163, 40123923, 40124919, 40124360, 40124033, 40124618, 40124199, 40124761]",172,1713807164,The Performance Impact of C++'s `final` Keyword,story,https://16bpp.net/blog/post/the-performance-impact-of-cpp-final-keyword/
9,AlbertCory,303,40119958,"[40128164, 40122586, 40121411, 40129046, 40128094, 40127887, 40128929, 40121339, 40121243, 40128628, 40121419, 40125902, 40128957, 40121866, 40128710, 40121431, 40128382, 40121396, 40127958, 40121223, 40125097, 40127348, 40128413, 40128499, 40125830, 40128719, 40122584, 40123193, 40121363, 40127429, 40121234, 40122719, 40127787, 40128622, 40121260, 40121432, 40121409, 40127865, 40121092, 40127689, 40128989, 40121264, 40124582, 40125113, 40128186, 40128020, 40122911, 40122895, 40124298, 40123983, 40123075, 40121351, 40122946, 40121437, 40126940, 40121418, 40127039, 40122972, 40127840, 40127935, 40123369, 40121602, 40122951, 40128002, 40121454, 40127468, 40121423, 40127904, 40126846, 40125672, 40125454, 40122171, 40121724, 40121706, 40121320, 40120734, 40120601, 40120597, 40120589, 40120550, 40120392, 40120283, 40120219, 40120204, 40121324, 40125638, 40125698, 40123482, 40123642, 40123547, 40122007, 40121939, 40122101, 40121150, 40121164, 40120462, 40120262, 40120208, 40120182, 40125400, 40125738, 40125697, 40125413, 40125367, 40124914, 40123728, 40123637, 40123550, 40122389, 40122161, 40122035, 40122246, 40122339, 40122318, 40122308, 40121559, 40126049, 40125965, 40125946, 40126228, 40126134, 40125974, 40122487, 40122484, 40126814, 40126524, 40126592, 40126305, 40126558, 40121294, 40122749, 40122817, 40122848, 40122852, 40124133, 40124606, 40124770, 40125134, 40126346, 40126738, 40126666, 40126394, 40126451, 40126642, 40126749, 40122606, 40124502, 40124598, 40120184, 40120241, 40126339, 40126807, 40121178, 40121775, 40124168, 40124491, 40124480, 40123959, 40124159, 40123730, 40124788, 40124439, 40124455, 40124010, 40123933, 40124109]",356,1713818201,No one buys books,story,https://www.elysian.press/p/no-one-buys-books
