,by,descendants,id,kids,score,time,title,type,url,text
0,varunvummadi,81.0,40127806,"[40128351, 40128046, 40128359, 40128521, 40128111, 40129900, 40129248, 40128639, 40128057, 40128158, 40128480, 40128116]",255,1713838912,Phi-3 Technical Report,story,https://arxiv.org/abs/2404.14219,
1,zdgeier,109.0,40126751,"[40127268, 40127093, 40127073, 40127116, 40127044, 40129443, 40127288, 40127692, 40129717, 40127320, 40127854, 40127046, 40127231, 40127445, 40126957, 40127276, 40127402, 40127182, 40129302, 40129736, 40129507, 40128091, 40127086, 40128573, 40127527, 40127169, 40127196, 40128739, 40127108, 40128087, 40128023, 40127099, 40128670, 40127578, 40127453, 40127720, 40127509, 40128364, 40127607, 40127487]",545,1713829123,Krazam OS,story,https://www.krazam.tv/,
2,transpute,13.0,40129297,"[40129729, 40129787, 40129841, 40129809, 40129599]",21,1713855654,Open Source Community Unites to Build EU CRA-Compliant Cybersecurity Processes,story,https://news.apache.org/foundation/entry/open-source-community-unites-to-build-cra-compliant-cybersecurity-processes,
3,jverrecchia,4.0,40129276,"[40129827, 40129788, 40129880, 40129870]",15,1713855409,Web Game Engines and Libraries,story,https://www.webgamedev.com/engines-libraries/web-game-engines-libraries,
4,wodow,12.0,40128285,"[40129451, 40129439, 40128764, 40128585]",53,1713844246,EURISKO Lives,story,https://blog.funcall.org/lisp/2024/03/22/eurisko-lives/,
5,pncnmnp,6.0,40129025,"[40129528, 40129365, 40129393]",26,1713852915,How short can Git abbreviate? (2013),story,https://blog.cuviper.com/2013/11/10/how-short-can-git-abbreviate/,
6,gajus,95.0,40127124,"[40127867, 40129842, 40128856, 40127908, 40128250, 40129312, 40129494, 40129684, 40129818, 40128871, 40129789, 40129577, 40128706, 40128772, 40127457, 40128911, 40128969, 40129291, 40127511, 40129596, 40127571, 40128949, 40129709, 40127851, 40127226, 40127675, 40127909, 40128766, 40127547, 40127717, 40127514, 40128022, 40127519, 40127378, 40127686, 40127489, 40128993]",108,1713831652,Understanding and avoiding visually ambiguous characters in IDs,story,https://gajus.com/blog/avoiding-visually-ambiguous-characters-in-ids,
7,kiyanwang,31.0,40112282,"[40129284, 40128400, 40129859, 40128575, 40129748, 40127911, 40129347, 40128943, 40129099, 40128183]",63,1713773247,The problem with invariants is that they change over time,story,https://surfingcomplexity.blog/2024/03/26/the-problem-with-invariants-is-that-they-change-over-time/,
8,croes,1.0,40129145,[40129349],33,1713854182,NASA's Voyager 1 Resumes Sending Engineering Updates to Earth,story,https://www.jpl.nasa.gov/news/nasas-voyager-1-resumes-sending-engineering-updates-to-earth,
9,Thevet,1.0,40111581,[40129484],25,1713763097,The Resurrection of Rajasthan's Royal Liquors,story,https://www.atlasobscura.com/articles/the-secret-liquor-recipes-of-rajasthans-royals,
10,ahiknsr,561.0,40115554,"[40116550, 40115923, 40129734, 40116076, 40123611, 40124006, 40116676, 40129573, 40123830, 40115916, 40127397, 40116095, 40116619, 40116211, 40116088, 40115993, 40126286, 40129406, 40117070, 40115936, 40116324, 40117387, 40116580, 40116029, 40116694, 40115946, 40126899, 40128130, 40116938, 40127641, 40123383, 40116372, 40122925, 40128093, 40116977, 40117604, 40116219, 40116508, 40115874, 40116312, 40119994, 40128298, 40116082, 40129174, 40127159, 40116197, 40116687, 40117374, 40116109, 40116207, 40116200, 40128500, 40116188, 40119600, 40121598, 40117523, 40121603, 40117827, 40127697, 40117082, 40119067, 40123389, 40127137, 40126930, 40125824, 40117191, 40115980, 40116898, 40116472, 40116145, 40116287, 40127012, 40116173, 40119710, 40116347, 40116156, 40116007, 40117160, 40126857, 40119967, 40119384, 40116130, 40123009, 40116604, 40116336, 40118909, 40116693, 40117422, 40115886, 40120015, 40121480, 40122167, 40122070, 40122051, 40120113, 40120603, 40120460, 40120439, 40119342, 40119338, 40119325, 40119320, 40119298, 40127616, 40116113, 40118318, 40125803, 40125644, 40125377, 40125781, 40117105, 40125453, 40124042, 40121481, 40121684, 40120972, 40120450, 40120129, 40119173, 40119170, 40125391, 40122384, 40122360, 40122300, 40121858, 40122214, 40121538, 40121903, 40121823, 40126056, 40126022, 40125936, 40125931, 40122551, 40127395, 40116253, 40116450, 40116351, 40122599, 40122871, 40122632, 40122731, 40122844, 40117243, 40126372, 40126122, 40126266, 40126551, 40126420, 40121386, 40126335, 40117054, 40122644, 40118672, 40123702, 40124282, 40118352, 40118818, 40119037, 40119069, 40121157, 40124369, 40118340, 40118361, 40118475, 40118488, 40118584, 40118596, 40118883, 40124362, 40124430, 40124649, 40124029, 40120729, 40124694, 40118281, 40118483, 40118524, 40118617, 40118624, 40119044, 40124216, 40124113, 40118310, 40118507, 40123802, 40124372, 40124284, 40124994, 40125079, 40125078, 40125109, 40123810, 40124103, 40124376, 40118873, 40118890, 40118235, 40118837, 40118882, 40118899, 40118903, 40124444, 40124091, 40118809, 40124917, 40124943, 40124435, 40123872, 40124776, 40124504, 40125310, 40120776, 40121050, 40123444]",683,1713801270,Meta Horizon OS,story,https://www.meta.com/blog/quest/meta-horizon-os-open-hardware-ecosystem-asus-republic-gamers-lenovo-xbox/,
11,sveltecult,45.0,40122999,"[40129353, 40129521, 40129008, 40127241, 40127183, 40127271, 40127507, 40128056, 40128646, 40126933, 40129672, 40128113, 40127653, 40126886, 40124745, 40125786, 40125689, 40125603, 40125475, 40124500, 40124929, 40124135, 40125681, 40125641, 40125165, 40124375, 40125513, 40125512, 40125623, 40125483, 40124998, 40123663, 40125945, 40125944, 40125920, 40126215, 40126252, 40126251, 40126429, 40126519, 40126532, 40126090, 40126568, 40126641, 40126310, 40126042, 40126483, 40126502, 40126199, 40126204, 40126375, 40126447, 40126192, 40126405, 40126459, 40126776, 40126650, 40126836, 40126653, 40123821, 40124004, 40124221, 40123870, 40124795, 40124818, 40124101, 40124236, 40124259, 40124479, 40124476, 40124723, 40126012, 40126038, 40126138, 40126047, 40126108, 40126118, 40123546, 40123774, 40123867, 40123846, 40123957, 40126277, 40124613, 40124636, 40124774, 40124796, 40126789, 40125042, 40123738, 40123788, 40124224, 40125036, 40124342, 40124147, 40124020, 40124134, 40125121, 40123882, 40124217, 40124550, 40124626, 40124660, 40124789, 40125106, 40125665, 40124882, 40123592, 40124927, 40124722, 40124415, 40123777, 40124061, 40124585, 40124596, 40124200, 40124546, 40124150, 40124590, 40125155, 40125152]",138,1713824322,"HTML-first, framework-agnostic implementation of shadcn/UI – franken/UI",story,https://www.franken-ui.dev/,
12,cab404,10.0,40127218,"[40129015, 40129675, 40129018, 40128073]",53,1713832595,Carapace: A multi-shell completion library and binary,story,https://carapace.sh/,
13,AlbertCory,383.0,40119958,"[40128164, 40122586, 40121411, 40127887, 40128094, 40129584, 40129625, 40121243, 40121339, 40129046, 40121419, 40127958, 40125902, 40129623, 40129520, 40128957, 40121431, 40128710, 40128628, 40121223, 40121866, 40121396, 40122584, 40128929, 40125097, 40127348, 40128382, 40125830, 40121432, 40122719, 40123193, 40121363, 40121234, 40129237, 40128413, 40127429, 40121260, 40128499, 40129647, 40121409, 40129436, 40121092, 40127787, 40128020, 40121264, 40127865, 40124582, 40127689, 40128719, 40129414, 40125113, 40128622, 40122911, 40129508, 40122895, 40128186, 40124298, 40123983, 40123075, 40121351, 40122946, 40121437, 40126940, 40121418, 40122972, 40127039, 40129217, 40123369, 40127840, 40128989, 40127935, 40121602, 40122951, 40121454, 40128002, 40121423, 40127468, 40127904, 40126846, 40125672, 40125454, 40122171, 40121724, 40121706, 40121320, 40120734, 40120601, 40120597, 40120589, 40120550, 40120392, 40120283, 40120219, 40120204, 40121324, 40125638, 40123482, 40125698, 40123642, 40123547, 40122007, 40121939, 40122101, 40121150, 40121164, 40120262, 40120462, 40120208, 40120182, 40125400, 40125738, 40125697, 40125413, 40125367, 40124914, 40123728, 40123637, 40123550, 40122389, 40122161, 40122035, 40122246, 40122339, 40122318, 40122308, 40121559, 40126049, 40125965, 40125946, 40126228, 40126134, 40125974, 40122487, 40122484, 40126814, 40126524, 40126592, 40126305, 40126558, 40121294, 40122749, 40122817, 40122848, 40122852, 40124133, 40124606, 40124770, 40125134, 40126346, 40126738, 40126666, 40126394, 40126451, 40126642, 40126749, 40124502, 40124598, 40126339, 40126807, 40122606, 40120184, 40120241, 40121178, 40121775, 40124168, 40124491, 40124480, 40123959, 40124159, 40123730, 40124788, 40124439, 40124455, 40124010, 40123933, 40124109]",420,1713818201,No one buys books,story,https://www.elysian.press/p/no-one-buys-books,
14,thunderbong,3.0,40112002,"[40129760, 40129820]",7,1713769236,Changelog-Driven Releases,story,https://mathieularose.com/changelog-driven-releases,
15,thepuppet33r,126.0,40127400,"[40129234, 40129879, 40127599, 40129162, 40128820, 40129872, 40129761, 40128225, 40129295, 40128978, 40127907, 40129683, 40129673, 40128271, 40127749, 40127789, 40127950, 40129084, 40129501, 40129227, 40128147, 40128192, 40127696, 40128385, 40129320, 40128919, 40128895, 40127748, 40127510, 40129355, 40128166, 40129567, 40127728, 40128121, 40127934, 40128821, 40127724, 40128948, 40129036, 40128283, 40129392, 40128887, 40128984, 40127761, 40128790, 40129051, 40129035, 40128944, 40127822, 40128142]",85,1713834741,Ask HN: How to manage phones and PCs for elderly parents?,story,,"I have a friend whose parents are getting up in years. They&#x27;re still functional enough that they want to be independent and surf the web, check their stocks, etc. He has some remote desktop software installed on their PCs, and antivirus installed and locked down. But they keep destroying their PCs with downloads, keep turning airplane mode on for their phones and can&#x27;t figure out how to disable it, and recently his dad got in a cleaning mood and deleted a bunch of system files and bricked his machine. He&#x27;s almost to the point of setting up an Intune tenant just to onboard and lock down his parents devices. Any suggestions on how to manage phones and PCs of the elderly to keep them functional but useful?"
16,metalwhale,8.0,40111916,[40129453],17,1713768098,Petoi Bittle – a programmable robot dog,story,https://www.petoi.com/products/petoi-bittle-robot-dog,
17,matt_d,36.0,40120846,"[40127163, 40126647, 40127795, 40129255, 40127980, 40129652, 40125882, 40127061, 40125761, 40125316, 40121940, 40121801, 40121132, 40120950, 40125732, 40125551, 40125514, 40125471, 40125418, 40125642, 40125625, 40125252, 40121841, 40121854, 40121149, 40120937, 40125366, 40124686, 40125594, 40125726, 40125682, 40125537, 40122443, 40122402, 40122163, 40121848, 40126139, 40125926, 40122574, 40122754, 40122795, 40126525, 40126201, 40126341, 40126743, 40126801, 40126021, 40126026, 40126453, 40126176, 40126629, 40126160, 40126324, 40122643, 40122708, 40122736, 40122758, 40122786, 40121726, 40123990, 40123840, 40124691, 40124688, 40125025, 40123487, 40124720, 40124940, 40126728, 40126716, 40123762, 40123792, 40124539, 40123596, 40123653, 40124066, 40124595, 40124988, 40125115, 40124751, 40121701, 40124308, 40124356, 40125190, 40123747, 40125074, 40125080, 40123887, 40124111, 40124559, 40124280]",96,1713820431,FPGA Architecture for Deep Learning: Survey and Future Directions,story,https://arxiv.org/abs/2404.10076,
18,jonathankoren,142.0,40117599,"[40128584, 40120323, 40129871, 40126969, 40118268, 40118211, 40127933, 40127412, 40121773, 40126281, 40120049, 40119380, 40122986, 40121370, 40129239, 40121064, 40127635, 40127961, 40129044, 40127754, 40127999, 40129666, 40121066, 40120005, 40126285, 40127006, 40122251, 40121445, 40120281, 40120026, 40121889, 40121666, 40120759, 40120752, 40120716, 40120674, 40120084, 40120369, 40119362, 40119314, 40119307, 40119280, 40125757, 40125746, 40123927, 40122250, 40122192, 40121983, 40121645, 40121196, 40121185, 40120947, 40120407, 40120565, 40119222, 40119217, 40119211, 40119186, 40125649, 40125548, 40123641, 40122221, 40121966, 40121923, 40121904, 40121553, 40121524, 40121905, 40126936, 40126165, 40122468, 40127017, 40122608, 40122790, 40126244, 40126763, 40126842, 40126364, 40126481, 40126531, 40126533, 40126230, 40126397, 40126409, 40126220, 40126219, 40124586, 40123899, 40124289, 40126576, 40126354, 40123975, 40126685, 40129333, 40123859, 40124553, 40118363, 40118414, 40118420, 40118426, 40118509, 40118670, 40118807, 40118819, 40118816, 40118902, 40118905, 40118912, 40126618, 40123906, 40124404, 40118792, 40118924, 40119036, 40119094, 40123724, 40124923, 40120738, 40124604, 40118279, 40118569, 40118605, 40118646, 40118679, 40124194, 40118300, 40118516, 40121505, 40124102, 40118378, 40124348, 40124545, 40118939, 40124540, 40119015, 40119017, 40119154, 40121040, 40123825, 40125069, 40118582, 40118655, 40119027, 40118734, 40124286]",597,1713812390,NASA's Voyager 1 Resumes Sending Engineering Updates to Earth,story,https://blogs.nasa.gov/voyager/2024/04/22/nasas-voyager-1-resumes-sending-engineering-updates-to-earth/,
19,fragmede,294.0,40113013,"[40113118, 40113926, 40127040, 40115185, 40123404, 40113985, 40115524, 40115359, 40114582, 40113312, 40122916, 40117932, 40115883, 40117709, 40113983, 40114962, 40116201, 40114628, 40113827, 40127010, 40127246, 40127211, 40129120, 40115489, 40124346, 40115006, 40116778, 40118190, 40118991, 40114166, 40121971, 40128325, 40121350, 40121340, 40127462, 40113917, 40127678, 40115537, 40114479, 40122707, 40114658, 40116683, 40115209, 40115814, 40129387, 40116344, 40123047, 40114909, 40115355, 40121347, 40123017, 40123014, 40115446, 40123043, 40124677, 40113690, 40123395, 40117733, 40119702, 40114103, 40119832, 40120232, 40120020, 40116179, 40115868, 40113902, 40116143, 40117552, 40114789, 40125286, 40114412, 40117813, 40116902, 40116415, 40115806, 40115002, 40126871, 40113293, 40114890, 40125215, 40121583, 40122184, 40122100, 40122072, 40121780, 40121752, 40120976, 40120740, 40120725, 40120437, 40120418, 40120417, 40119379, 40119358, 40119313, 40119294, 40119279, 40119274, 40119259, 40120115, 40120114, 40115200, 40125634, 40125562, 40125669, 40125218, 40121497, 40122234, 40121174, 40121146, 40119214, 40119198, 40119191, 40119188, 40119187, 40118443, 40125469, 40125223, 40125201, 40124229, 40125646, 40125637, 40125363, 40125712, 40125710, 40125695, 40122433, 40122287, 40122043, 40122322, 40122309, 40121696, 40121379, 40124864, 40122785, 40122618, 40126222, 40126233, 40126333, 40126096, 40126676, 40126052, 40126174, 40126470, 40126149, 40126235, 40126248, 40126538, 40126664, 40126828, 40126342, 40121716, 40122716, 40122718, 40122801, 40122840, 40122842, 40122857, 40123993, 40124841, 40125027, 40126739, 40122689, 40118880, 40118349, 40118365, 40118465, 40118467, 40118506, 40118515, 40118598, 40118613, 40118623, 40118659, 40118682, 40118828, 40119032, 40119034, 40123974, 40118285, 40118444, 40118540, 40123866, 40123954, 40118855, 40118901, 40118926, 40119114, 40124816, 40123570, 40123700, 40124341, 40123734, 40118663, 40123605, 40118704, 40120955, 40124464, 40125151, 40123893, 40124263, 40125139, 40123947, 40124894, 40125022]",1369,1713782279,Equinox.space,story,https://equinox.space/,
20,jseliger,45.0,40114696,"[40124392, 40127815, 40128011, 40127198, 40127939, 40127959, 40127945, 40122105, 40123387, 40122476, 40122138, 40121778, 40120956, 40125722, 40122222, 40122099, 40121928, 40121853, 40121695, 40121986, 40121819, 40121135, 40125591, 40125568, 40125500, 40125437, 40123766, 40122391, 40122374, 40122394, 40122328, 40122279, 40122151, 40122084, 40122081, 40122286, 40121697, 40122292, 40122135, 40126726, 40125947, 40126178, 40122503, 40122519, 40122563, 40122557, 40126260, 40126306, 40126779, 40125909, 40125983, 40126336, 40126563, 40126322, 40126468, 40126187, 40122598, 40122604, 40121746, 40124506, 40126249, 40122960, 40124344, 40126744, 40124958, 40124087, 40124487, 40124234, 40124463, 40124578, 40124060, 40121376, 40123504, 40125162, 40124741, 40124777, 40123901]",85,1713795959,The emotional trial of clinical trials: like online dating with death risk,story,https://jakeseliger.com/2024/04/22/the-emotional-trial-of-clinical-trials-part-1-its-like-online-dating-except-if-you-choose-wrong-you-die/,
21,bookofjoe,1.0,40104586,[40129739],29,1713696048,The Copier Wars: Fair Use's Rude Awakening,story,https://newart.press/p/the-copier-wars-fair-uses-rude-awakening,
22,CaptainZapp,15.0,40129259,"[40129557, 40129491, 40129540, 40129611, 40129793, 40129808, 40129523, 40129546, 40129468]",24,1713855181,It's the End of the Web as We Know It,story,https://www.theatlantic.com/technology/archive/2024/04/generative-ai-search-llmo/678154/,
23,mountainview,31.0,40121318,"[40128724, 40127139, 40123616, 40128574, 40123256, 40125176, 40123390, 40124670, 40126068, 40123028, 40125520, 40125326, 40125231, 40121541, 40122052, 40121944, 40121807, 40121620, 40121609, 40125657, 40125795, 40122240, 40122228, 40121970, 40121891, 40122089, 40122924, 40121961, 40121957, 40122193, 40121883, 40121788, 40125752, 40125718, 40125742, 40125493, 40125489, 40122444, 40122420, 40122358, 40122334, 40122303, 40122299, 40122277, 40122189, 40122065, 40121827, 40122579, 40122614, 40122657, 40122678, 40122685, 40122712, 40122734, 40122645, 40122760, 40122769, 40126098, 40126156, 40126485, 40126834, 40126327, 40126032, 40126507, 40126496, 40126061, 40126704, 40122607, 40124948, 40124934, 40126693, 40121556, 40123366, 40121783, 40124782, 40123603, 40123970, 40124928, 40121952, 40125017, 40124570, 40124005, 40124074, 40124858, 40124787, 40124560, 40124511, 40124401, 40123994, 40123953, 40124884, 40124857, 40124361, 40123894, 40124144, 40124085]",150,1713821550,"Dify, a visual workflow to build/test LLM applications",story,https://github.com/langgenius/dify,
24,fzliu,8.0,40127162,[40128144],21,1713832022,Using Your Vector Database as a JSON (Or Relational) Datastore,story,https://zilliz.com/blog/using-your-vector-database-as-JSON-or-relational-datastore,
25,tydunn,,40120616,,1,1713819628,Continue (YC S23) is hiring a founding engineer in San Francisco,job,https://www.ycombinator.com/companies/continue/jobs/smcxRnM-founding-engineer,
26,hmm37,8.0,40104614,"[40129829, 40128343, 40129648, 40105663]",44,1713696406,How to reenable undervolting in 2020 Dell Laptops by editing EFI variables,story,https://brendangreenley.com/undervolting-2020-dell-laptops-like-the-vostro-7500-and-more-tips-to-improve-thermals-battery-life-and-speed/,
27,ppenenko,4.0,40110072,"[40129335, 40127272, 40129080, 40127291, 40125423, 40125354, 40122132, 40121674, 40125590, 40125349, 40125744, 40125376, 40125714, 40125606, 40125313, 40122392, 40122003, 40122207, 40121708, 40121843, 40122548, 40122545, 40122500, 40122517, 40122589, 40122698, 40122761, 40122792, 40122885, 40126407, 40126658, 40126351, 40126480, 40126075, 40126550, 40126623, 40126202, 40126031, 40126368, 40126534, 40126559, 40126569, 40126659, 40121581, 40122820, 40122870, 40123587, 40124737, 40124735, 40124973, 40125008, 40124302, 40124612, 40124821, 40126688, 40123545, 40124355, 40126698, 40126712, 40126636, 40121732, 40124297, 40124890, 40125114, 40125312, 40123573, 40123640, 40123808, 40124084, 40124530, 40124637, 40124601, 40124750, 40123513, 40124574, 40124243, 40124449, 40125070]",41,1713741717,Show HN: Metashade – a Pythonic GPU shading/compute EDSL,story,https://github.com/ppenenko/metashade,"Superficially, it may look similar to Nvidia&#x27;s Warp or OpenAI&#x27;s Triton, but instead of transpiling a subset of Python to the target language, it implements dynamic codegen in pure Python.<p>These slides discuss the existing GPU programming solutions and make a case for Metashade&#x27;s approach: <a href=""https:&#x2F;&#x2F;docs.google.com&#x2F;presentation&#x2F;d&#x2F;e&#x2F;2PACX-1vQtYIwXIkMnVC6TzWTKPAtZIA6_xeUCQc8Mvyziu0qy7HDUduz_onsJ5TabxTuuVQ&#x2F;pub?start=false&amp;loop=false&amp;delayms=3000"" rel=""nofollow"">https:&#x2F;&#x2F;docs.google.com&#x2F;presentation&#x2F;d&#x2F;e&#x2F;2PACX-1vQtYIwXIkMnV...</a>"
28,lxm,100.0,40127515,"[40127903, 40128319, 40128619, 40128200, 40128122, 40127563, 40128126, 40127868, 40128430, 40129299, 40127905, 40128055, 40128410, 40129640, 40128214, 40128780, 40128033, 40129493, 40128078, 40129480, 40127870, 40127928, 40128064, 40128876, 40127889, 40128504, 40128528, 40128832]",103,1713835946,The Seattle Public Library is reducing maximum digital holds,story,https://shelftalkblog.wordpress.com/2024/03/13/the-seattle-public-library-is-reducing-our-maximum-digital-holds-heres-why/,
